region_name,item_description,total_value,regional_total,percentage
Gujarat,TIRUPATI ACTIVE REF CORN OIL 15 LTR NT,18459440764.280000000,2896805871761.100000000,0.637234305
Gujarat,FIRST SPECIAL GRADE CASTOR OIL (FSG),15974776486.620000000,2896805871761.100000000,0.551461755
Gujarat,CRUDE DEGUMMED SOYABEAN OIL EDIBLE GRADE,15927938656.340000000,2896805871761.100000000,0.549844876
Gujarat,TIRUPATI REFINED COTTON OIL 15 LTR NT,15902394522.470000000,2896805871761.100000000,0.548963073
Gujarat,TIRUPATI REFINED COTTON OIL 870 GRM BOT,15743106007.960000000,2896805871761.100000000,0.543464309
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 15 KG NT,15495164360.050000000,2896805871761.100000000,0.534905170
Gujarat,TIRUPATI REF COTTON OIL 750 ML POUCH,9920545412.050000000,2896805871761.100000000,0.342464972
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 4.35 KG J,9795852358.410000000,2896805871761.100000000,0.338160470
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 KG TIN,9042780361.260000000,2896805871761.100000000,0.312163837
Gujarat,SUNPRIDE REF SUNFLOWER OIL  5 LTR JAR,8542236271.650000000,2896805871761.100000000,0.294884664
Gujarat,MARUTI PALMOLIEN OIL 15 KG NEW TIN,8270371954.070000000,2896805871761.100000000,0.285499696
Gujarat,TIRUPATI REFINED COTTON OIL 435 GRM BOT,8180013906.440000000,2896805871761.100000000,0.282380466
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 13 KG NT,6911320101.580000000,2896805871761.100000000,0.238584165
Gujarat,DEGUMMED SOYABEAN OIL EDIBLE GRADE,6870974296.480000000,2896805871761.100000000,0.237191396
Gujarat,SUNPRIDE REF SUNFLOWER OIL 1 LTR POUCH,6669609942.050000000,2896805871761.100000000,0.230240142
Gujarat,REFINED COTTONSEED OIL,6119082290.280000000,2896805871761.100000000,0.211235497
Gujarat,SUNPRIDE SUNFLOWER OIL 870 GM POUCH,4488193539.450000000,2896805871761.100000000,0.154935945
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 4.35 KG J,4473050448.910000000,2896805871761.100000000,0.154413193
Gujarat,TIRUPATI ACTIVE REF CORN OIL 5 LTR JAR,4170179291.090000000,2896805871761.100000000,0.143957844
Gujarat,DEGUMMED SOYABEAN OIL  EDIBLE GRADE,4082752657.940000000,2896805871761.100000000,0.140939809
Gujarat,TIRUPATI ACTIVE REF CORN OIL 4.35 KG JAR,3923043940.770000000,2896805871761.100000000,0.135426539
Gujarat,TIRUPATI PREMIUM FILTER GNOIL 870GRM BOT,3552135029.580000000,2896805871761.100000000,0.122622474
Gujarat,TIRUPATI REFINED COTTON OIL 175 GRM POU,3415039219.730000000,2896805871761.100000000,0.117889820
