region,product,total_qty,total_revenue,qty_percentage,revenue_percentage
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 5 LTR JAR,448,2002607754.810000000,0.040000000,0.070000000
Gujarat,TIRUPATI REFINED GROUNDNUT OIL 15 LTR NT,0,1996914461.890000000,0E-9,0.070000000
Gujarat,RBD PALM STEARIN,0,1798982005.230000000,0E-9,0.060000000
Gujarat,TIRUPATI REF.SUNPRI. OIL POU 16 X 750 ML,0,1772730102.000000000,0E-9,0.060000000
Gujarat,REFINED MAIZE OIL,0,1398614741.010000000,0E-9,0.050000000
Gujarat,GOOD LIFE FILTER GROUNDNUT OIL 1LTRPOUCH,500,1390409817.500000000,0.050000000,0.050000000
Gujarat,TIRUPATI REF SOYABEAN OIL 750 ML POUCH,0,1371311348.770000000,0E-9,0.050000000
Gujarat,TIRUPATI MUSTARD OIL 870 GRM BOTTLE,0,1354971247.140000000,0E-9,0.050000000
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 15 LTR NT,4,1333065721.270000000,0E-9,0.050000000
Gujarat,TIRUPATI KACHI GHANI MUSTARD OIL 5LTRJAR,3213,1324094457.210000000,0.320000000,0.050000000
Gujarat,GOLD CORN BRAND MAIZE CAKE,0,1234862242.890000000,0E-9,0.040000000
Gujarat,MARUTI SUPEROLEIN OIL 15 KG NT,0,1233023617.210000000,0E-9,0.040000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 LTR CHAKLI,1888,1229844907.780000000,0.190000000,0.040000000
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 5 LTR JAR,176,1180051082.640000000,0.020000000,0.040000000
Gujarat,TIRUPATI PREMIUM FILTER GNOIL 435GRM BOT,0,1170310462.230000000,0E-9,0.040000000
Gujarat,MARUTI REFINED COTTON OIL 15 KG NT,0,1141766581.830000000,0E-9,0.040000000
Gujarat,CRUDE SUNFLOWER OIL OF EDIBLE GRADE,0,1103244636.220000000,0E-9,0.040000000
Gujarat,CRUDE SUNFLOWER OIL EDIBLE GRADE,0,1050458664.740000000,0E-9,0.040000000
