customer_id,customer_name
153159,GHODAWAT EXIM LLP
112549,GIRIRAJ ENTERPRISE
113942,GIRIRAJ PRASAD GHANSHYAM DAS
104995,GIRIRAJ PROVI STORE - GANDHI GRAM
110233,GIRIRAJ SHOPPING CENTER (KALAWADROA
112016,GIRISH CHANACHUR AND SNACKS PVT LTD
GJ02XX3924,GJ02XX3924 Loding Truck
GJ02XX9801,GJ02XX9801 Tanker
GJ02XX9802,GJ02XX9802 Tanker
GJ02XX9806,GJ02XX9806 Tanker
GJ02XX9809,GJ02XX9809 Tanker
GJ02XX9810,GJ02XX9810 Tanker
GJ02Z3234,GJ02Z3234 Tanker
GJ02Z3236,GJ02Z3236 Tanker
GJ02Z3549,GJ02Z3549 Loding Truck
GJ02Z3555,GJ02Z3555 Loding Truck
GJ02Z3557,GJ02Z3557 Loding Truck
GJ02Z3562,GJ02Z3562 Loding Truck
GJ02Z3710,GJ02Z3710 Tanker
GJ02Z3724,GJ02Z3724 Tanker
GJ02Z3734,GJ02Z3734 Tanker
GJ02Z3805,GJ02Z3805 Tanker
GJ02Z3809,GJ02Z3809 Tanker
GJ02Z3810,GJ02Z3810 Tanker
GJ02Z9812,GJ02Z9812 Tanker
GJ02Z9813,GJ02Z9813 Tanker
GJ02Z9816,GJ02Z9816 Tanker
GJ02Z9818,GJ02Z9818 Tanker
GJ02Z9820,GJ02Z9820 Tanker
GJ02Z9821,GJ02Z9821 Tanker
GJ02ZZ9828,GJ02ZZ9828 Tanker
GJ02ZZ9829,GJ02ZZ9829 Tanker
GJ02ZZ9830,GJ02ZZ9830 Tanker
GJ02ZZ9831,GJ02ZZ9831 Tanker
GJ12BX7234,GJ12BX7234 Tanker
GJ12BX7656,GJ12BX7656 Tanker
GJ12BX7820,GJ12BX7820 Tanker
GJ12BX7896,GJ12BX7896 Tanker
114454,GLOBAL MARINE EXPORTS
152749,GLOBAL MERCHANTS
152830,GODREJ INDUSTRIES LTD
114814,GOKALANI RAJ DASHRATHBHAI
111563,GOKUL AGRO RESOURCES LIMITED
109718,GOKUL PROVISION STORES (KALAVADROAD
113320,G ONE AGRO PRODUCTS LTD
112065,GOPAL GENRAL STORE(SETH NGR)
109807,GOPAL KIRANA BHANDAR
108251,GOPINATHJI PROVI-YOGESHWAR
112979,GOPINATH TRADERS
113049,GOPI TRADELINK
113251,GOVIND AGROFIN PRIVATE LIMITED
114108,GOVIND OIL DEPOT
105335,GOYAL AGENCIES
152921,GOYAL TRADING COMPANY
153229,GPA ENGINEERS
112059,G P AND SONS
500156,GUANGZHOU PANYU ZHONGXIN OIL
500389,GUANG ZHOU SHI-JIU CHEMICAL TECHNOL
100672,GUJARAT AMBUJA EXPORTS LTD. KADI
100674,GUJARAT FOOD PRODUCTION
110748,GUJARAT KIRANA STORES
112844,GUJARAT KRUSHI BIO FERTILIZERS
103881,GUJARAT OIL MILL
152889,GUJARAT PEANUT AND AGRI PRODUCTS LT
114829,GULAB OIL AND FOOD (AHMEDABAD) PVT
152791,GULAB OIL AND FOOD (AHMEDABAD) PVT
103882,GULAB OIL AND FOODS PVT LTD
100684,GUNGADIPATI SEVA SAHKARI MANDLI
112048,GURU KIRPA
100690,GURUKRUPA ENTERPRISE
105003,GURUKRUPA PROVI-JUKSAN
111528,GURUKRUPA SALES
100692,GURUKRUPA TRADING CO
115011,GV TRADERS
100702,HADI ENTERPRISE
109929,HAIDAR ALIBHANJI (KALAVAD)
152837,HALDIRAM SNACKS FOOD PRIVATE LIMITE
111028,HAMID CHOICE CENTER
500197,Hampshire commodities Limited
110378,HANIFBHAI ABUBHAI (TANKARA)
105006,HANSA PROVI - SAURASHTRA KALA KENDR
110800,HAPPY GENERAL STORE (POPATPARA)
111786,HAPPY MALL
114798,HARIDAS SAVAJIBHAI RAJA
100718,HARI KRISHNA TRADING CO
100717,HARI KRISHNA TRADING CO MEHSANA
113960,HARIKRUPA PASU AAHAR
110941,HARI KRUPA SALES AGENCY
112214,HARI OIL MILLS AND  CO
112970,HARIOM ENTERPRISE
100723,HARIOM ENTERPRISE DEHGAM
104668,HARIOM ENTERPRISE --MARKETING YARD
109084,HARIOM INDUSTRIES
112912,HARIOM PROVISION STORE
114607,HARIOM TRADERS
108944,HARKARAN DASS VEDPAL
108689,HARSHAD MANGO PRODUCT PVT LTD
100737,HARSHAD TRADERS
100735,HARSH ENTERPRIES
100741,HASAN MOHMAD SARODWALA AND CO
100743,HASHANBHAI MOHAMD
109799,HASMUKH KIRANA STORE
100699,H  BALVANTRAI AND CO
500283,"HEBEI CHUNFENG INT. TRADE CO., LTD"
500280,"HEBEI SAI AO TRADE CO.,LTD."
113749,HEENAL DISTRIBUTORS
113645,HEER OIL INDUSTRIES
116152,HELIOS PHARMACEUTICALS
100755,HEMANDAS AND SONS
113866,HEMANG TRADERS
114856,HEMEE INTERNATIONAL PVT LTD
100759,HETAL TRADERS
100069,HETA SALES AGENCY
107356,H. H. ENTERPRIES
114745,HINDUSTAN GRAIN CENTRE
100770,HIRACHAND NIHALCHAND LUNAVAT & CO
100773,HITENDRAKUMAR GOVINDRAM
100776,HITESHKUMAR CHIMANLAL AND BROTHERS
109288,HITESH TRADERS  ANAND
100777,HITKARI SABUN UDHYOG
115089,H J ENTERPRISE
104219,H K & CO
112224,H L CORPORATION
153227,HN ENTERPRISE
500265,HOLLY (WEIHAI) NEW MATERIALS
500333,HOPE CHEMICAL TRADING
100780,HOTCHAND KANAIYALAL
114149,HOTEL VRINDAVAN
104223,HUNDALDAS MEHULMAL
115010,HUNY ENTERPRISES
112100,HUSAIN TRADING
114982,INDIAN SALES
103103,INDIA TRADING CO CHIPLUN
152729,INDORI TRADING CO.
114568,INDRA SALES AGENCIES
115102,INDUS MEGA FOOD PARK PVT LTD
152822,INKFLOW SERVICES PRIVATE LIMITED
113329,INNOVATIVE RETAIL CONCEPTS PVT LTD
153245,INNOVATIVE SOCH
500303,IRVA S.A.R.L
100805,ISMAILBHAI MOHAMEDBHAI AND CO
100789,I S TRADING CO
152903,IYARKAI FOOD PRODUCTS
100042,JAANKI PADMA OIL PRIVATE LTD
109708,JADESWAR KIRANA BHANDAR
109421,JAGANNATH PROTINS
112322,JAGDAMBA TRADING CO
100838,JAGDISHCHANDRA JAYANTILAL
152897,JAGDISH PROTEINS
113944,JAGDISH TRADERS
100823,JAGDISH  TRADING CO
112263,JAIDEV TRADING COMPANY
100857,JAINAM TRADING CO.
114232,JAIN OILS AND FOODS LLP
100851,JAIN OIL TRADING CO
100852,JAIN SOAP MILLS
100854,JAIN SUPER BAZAR
113304,JALARAM ENTERPRISE
105021,"JALARAM ENTERPRISE -KAKA COMPLEX,RA"
106704,JALARAM ENTERPRISE  KALUPUR
104682,JALARAM ENTERPRISE  NADI BAZAR DHO
109785,JALARAM GENRAL STORES (RAMAPIRCHOWK
152821,JALARAM OIL CENTER
100864,JALARAM OIL DEPO
105025,JALARAM PROVI-ALKAPURI RAIYA ROAD
